Disposal process 1 of 1
Begin with the calculation of Phase 1
Time [s] | x [m] | y [m] | z [m] |  u &  v &  w [m/s] |  a [m] |  b [m] |  c [m] | Sand[m³]| Silt[m³] | Clay[m³] | Masse [kg]  | Vol [m³] |rho[kg/m³]| Wirb | fluidC 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
  0.9979 |  0.06 |  0.00 | 11.99 | 0.13 | 0.00 | 2.89 |  12.64 |  12.64 |   0.00 |   0.000 |  619.776 |  619.776 |  6304566.90 |  4218.44 |  1493.72 | 7.54 | 0.7045 
  1.0256 |  0.06 |  0.00 | 12.07 | 0.13 | 0.00 | 2.92 |  12.66 |  12.66 |   0.00 |   0.000 |  619.373 |  619.373 |  6325669.82 |  4240.19 |  1490.91 | 7.54 | 0.7061 
  1.0533 |  0.06 |  0.00 | 12.15 | 0.14 | 0.00 | 2.95 |  12.68 |  12.68 |   0.00 |   0.000 |  618.965 |  618.965 |  6347046.28 |  4262.23 |  1488.09 | 7.54 | 0.7077 
  1.0810 |  0.07 |  0.00 | 12.23 | 0.14 | 0.00 | 2.97 |  12.71 |  12.71 |   0.00 |   0.000 |  618.552 |  618.552 |  6368688.14 |  4284.54 |  1485.27 | 7.54 | 0.7094 
  1.1088 |  0.07 |  0.00 | 12.32 | 0.15 | 0.00 | 3.00 |  12.73 |  12.73 |   0.00 |   0.000 |  618.134 |  618.134 |  6390587.44 |  4307.12 |  1482.44 | 7.54 | 0.7110 
  1.1365 |  0.07 |  0.00 | 12.40 | 0.15 | 0.00 | 3.02 |  12.75 |  12.75 |   0.00 |   0.000 |  617.711 |  617.711 |  6412736.45 |  4329.95 |  1479.61 | 7.54 | 0.7126 
  1.1642 |  0.08 |  0.00 | 12.48 | 0.15 | 0.00 | 3.04 |  12.77 |  12.77 |   0.00 |   0.000 |  617.284 |  617.284 |  6435127.64 |  4353.04 |  1476.78 | 7.54 | 0.7143 
  1.1919 |  0.08 |  0.00 | 12.57 | 0.16 | 0.00 | 3.07 |  12.80 |  12.80 |   0.00 |   0.000 |  616.852 |  616.852 |  6457753.68 |  4376.36 |  1473.94 | 7.54 | 0.7159 
  1.2196 |  0.09 |  0.00 | 12.65 | 0.16 | 0.00 | 3.08 |  12.82 |  12.82 |   0.00 |   0.000 |  616.415 |  616.415 |  6480607.44 |  4399.92 |  1471.11 | 7.54 | 0.7176 
  1.2474 |  0.09 |  0.00 | 12.74 | 0.17 | 0.00 | 3.10 |  12.84 |  12.84 |   0.00 |   0.000 |  615.975 |  615.975 |  6503682.01 |  4423.71 |  1468.28 | 7.54 | 0.7192 
  1.2751 |  0.10 |  0.00 | 12.83 | 0.17 | 0.00 | 3.12 |  12.87 |  12.87 |   0.00 |   0.000 |  615.530 |  615.530 |  6526970.67 |  4447.72 |  1465.45 | 7.54 | 0.7208 
  1.3028 |  0.10 |  0.00 | 12.91 | 0.18 | 0.00 | 3.14 |  12.89 |  12.89 |   0.00 |   0.000 |  615.082 |  615.082 |  6550466.92 |  4471.94 |  1462.63 | 7.54 | 0.7225 
  1.3305 |  0.11 |  0.00 | 13.00 | 0.18 | 0.00 | 3.15 |  12.92 |  12.92 |   0.00 |   0.000 |  614.629 |  614.629 |  6574164.44 |  4496.37 |  1459.81 | 7.54 | 0.7241 
  1.3582 |  0.11 |  0.00 | 13.09 | 0.18 | 0.00 | 3.17 |  12.94 |  12.94 |   0.00 |   0.000 |  614.173 |  614.173 |  6598057.13 |  4521.01 |  1457.01 | 7.54 | 0.7257 
  1.3860 |  0.12 |  0.00 | 13.18 | 0.19 | 0.00 | 3.18 |  12.96 |  12.96 |   0.00 |   0.000 |  613.713 |  613.713 |  6622139.07 |  4545.83 |  1454.21 | 7.54 | 0.7273 
  1.4137 |  0.12 |  0.00 | 13.26 | 0.19 | 0.00 | 3.19 |  12.99 |  12.99 |   0.00 |   0.000 |  613.250 |  613.250 |  6646404.54 |  4570.85 |  1451.41 | 7.54 | 0.7289 
  1.4414 |  0.13 |  0.00 | 13.35 | 0.20 | 0.00 | 3.20 |  13.01 |  13.01 |   0.00 |   0.000 |  612.784 |  612.784 |  6670848.00 |  4596.05 |  1448.63 | 7.54 | 0.7305 
