Time [s] | x [m] | y [m] | z [m] | Loss of Sand, Silt, Clay in [m³] | fluid in % |  a [m] |  b [m] | 
---------------------------------------------------------------------------------------------------- 
Material loss due to stripping 
---------------------------------------------------------------------------------------------------- 
 11.6000 |  4.58 |  0.00 | 36.66 |      0.00 |      0.00 |     0.00 |     0.9465 |   8.91 |  31.74 | 
 11.8000 |  4.68 |  0.00 | 36.73 |      0.00 |      0.00 |     0.00 |     0.9475 |   8.71 |  32.41 | 
 12.0000 |  4.78 |  0.00 | 36.81 |      0.00 |      0.00 |     0.00 |     0.9485 |   8.52 |  33.08 | 
 12.2000 |  4.88 |  0.00 | 36.88 |      0.00 |      0.00 |     0.00 |     0.9494 |   8.33 |  33.75 | 
 12.4000 |  4.98 |  0.00 | 36.94 |      0.00 |      0.00 |     0.00 |     0.9503 |   8.16 |  34.41 | 
 12.6000 |  5.08 |  0.00 | 37.00 |      0.00 |      0.00 |     0.00 |     0.9512 |   7.99 |  35.07 | 
 12.8000 |  5.18 |  0.00 | 37.06 |      0.00 |      0.00 |     0.00 |     0.9520 |   7.83 |  35.73 | 
 13.0000 |  5.28 |  0.00 | 37.12 |      0.00 |      0.00 |     0.00 |     0.9527 |   7.68 |  36.38 | 
 13.2000 |  5.38 |  0.00 | 37.18 |      0.00 |      0.00 |     0.00 |     0.9535 |   7.53 |  37.03 | 
 13.4000 |  5.48 |  0.00 | 37.23 |      0.00 |      0.00 |     0.00 |     0.9542 |   7.39 |  37.67 | 
 13.6000 |  5.58 |  0.00 | 37.28 |      0.00 |      0.00 |     0.00 |     0.9549 |   7.26 |  38.30 | 
 13.8000 |  5.68 |  0.00 | 37.33 |      0.00 |      0.00 |     0.00 |     0.9556 |   7.13 |  38.94 | 
 14.0000 |  5.78 |  0.00 | 37.37 |      0.00 |      0.00 |     0.00 |     0.9562 |   7.01 |  39.56 | 
 14.2000 |  5.88 |  0.00 | 37.42 |      0.00 |      0.00 |     0.00 |     0.9568 |   6.89 |  40.18 | 
 14.4000 |  5.98 |  0.00 | 37.46 |      0.00 |      0.00 |     0.00 |     0.9574 |   6.77 |  40.80 | 
 14.6000 |  6.08 |  0.00 | 37.50 |      0.00 |      0.00 |     0.00 |     0.9580 |   6.66 |  41.41 | 
 14.8000 |  6.18 |  0.00 | 37.54 |      0.00 |      0.00 |     0.00 |     0.9585 |   6.56 |  42.02 | 
 15.0000 |  6.28 |  0.00 | 37.58 |      0.00 |      0.00 |     0.00 |     0.9591 |   6.46 |  42.62 | 
 15.2000 |  6.38 |  0.00 | 37.61 |      0.00 |      0.00 |     0.00 |     0.9596 |   6.36 |  43.22 | 
 15.4000 |  6.48 |  0.00 | 37.65 |      0.00 |      0.00 |     0.00 |     0.9601 |   6.27 |  43.81 | 
 15.6000 |  6.58 |  0.00 | 37.68 |      0.00 |      0.00 |     0.00 |     0.9606 |   6.18 |  44.40 | 
 15.8000 |  6.68 |  0.00 | 37.72 |      0.00 |      0.00 |     0.00 |     0.9610 |   6.09 |  44.98 | 
 16.0000 |  6.78 |  0.00 | 37.75 |      0.00 |      0.00 |     0.00 |     0.9615 |   6.01 |  45.56 | 
 16.2000 |  6.88 |  0.00 | 37.78 |      0.00 |      0.00 |     0.00 |     0.9619 |   5.92 |  46.13 | 
 16.4000 |  6.98 |  0.00 | 37.81 |      0.00 |      0.00 |     0.00 |     0.9623 |   5.85 |  46.70 | 
 16.6000 |  7.08 |  0.00 | 37.84 |      0.00 |      0.00 |     0.00 |     0.9627 |   5.77 |  47.26 | 
 16.8000 |  7.18 |  0.00 | 37.86 |      0.00 |      0.00 |     0.00 |     0.9631 |   5.70 |  47.82 | 
 17.0000 |  7.28 |  0.00 | 37.89 |      0.00 |      0.00 |     0.00 |     0.9635 |   5.63 |  48.38 | 
 17.2000 |  7.38 |  0.00 | 37.92 |      0.00 |      0.00 |     0.00 |     0.9639 |   5.56 |  48.93 | 
 17.4000 |  7.48 |  0.00 | 37.94 |      0.00 |      0.00 |     0.00 |     0.9643 |   5.49 |  49.47 | 
 17.6000 |  7.58 |  0.00 | 37.97 |      0.00 |      0.00 |     0.00 |     0.9646 |   5.42 |  50.01 | 
 17.8000 |  7.68 |  0.00 | 37.99 |      0.00 |      0.00 |     0.00 |     0.9649 |   5.36 |  50.55 | 
 18.0000 |  7.78 |  0.00 | 38.01 |      0.00 |      0.00 |     0.00 |     0.9653 |   5.30 |  51.08 | 
 18.2000 |  7.88 |  0.00 | 38.03 |      0.00 |      0.00 |     0.00 |     0.9656 |   5.24 |  51.61 | 
 18.4000 |  7.98 |  0.00 | 38.06 |      0.00 |      0.00 |     0.00 |     0.9659 |   5.18 |  52.14 | 
 18.6000 |  8.08 |  0.00 | 38.08 |      0.00 |      0.00 |     0.00 |     0.9662 |   5.13 |  52.66 | 
 18.8000 |  8.18 |  0.00 | 38.10 |      0.00 |      0.00 |     0.00 |     0.9665 |   5.07 |  53.18 | 
 19.0000 |  8.28 |  0.00 | 38.12 |      0.00 |      0.00 |     0.00 |     0.9668 |   5.02 |  53.69 | 
 19.2000 |  8.38 |  0.00 | 38.14 |      0.00 |      0.00 |     0.00 |     0.9671 |   4.97 |  54.20 | 
 19.4000 |  8.48 |  0.00 | 38.16 |      0.00 |      0.00 |     0.00 |     0.9674 |   4.92 |  54.71 | 
 19.6000 |  8.58 |  0.00 | 38.17 |      0.00 |      0.00 |     0.00 |     0.9676 |   4.87 |  55.21 | 
 19.8000 |  8.68 |  0.00 | 38.19 |      0.00 |      0.00 |     0.00 |     0.9679 |   4.82 |  55.71 | 
 20.0000 |  8.78 |  0.00 | 38.21 |      0.00 |      0.00 |     0.00 |     0.9682 |   4.78 |  56.20 | 
 20.2000 |  8.88 |  0.00 | 38.23 |      0.00 |      0.00 |     0.00 |     0.9684 |   4.73 |  56.70 | 
 20.4000 |  8.98 |  0.00 | 38.24 |      0.00 |      0.00 |     0.00 |     0.9687 |   4.69 |  57.18 | 
 20.6000 |  9.08 |  0.00 | 38.26 |      0.00 |      0.00 |     0.00 |     0.9689 |   4.64 |  57.67 | 
 20.8000 |  9.18 |  0.00 | 38.27 |      0.00 |      0.00 |     0.00 |     0.9691 |   4.60 |  58.15 | 
 21.0000 |  9.28 |  0.00 | 38.29 |      0.00 |      0.00 |     0.00 |     0.9694 |   4.56 |  58.63 | 
 21.2000 |  9.38 |  0.00 | 38.30 |      0.00 |      0.00 |     0.00 |     0.9696 |   4.52 |  59.10 | 
 21.4000 |  9.48 |  0.00 | 38.32 |      0.00 |      0.00 |     0.00 |     0.9698 |   4.48 |  59.57 | 
 21.6000 |  9.58 |  0.00 | 38.33 |      0.00 |      0.00 |     0.00 |     0.9700 |   4.44 |  60.04 | 
 21.8000 |  9.68 |  0.00 | 38.35 |      0.00 |      0.00 |     0.00 |     0.9702 |   4.41 |  60.51 | 
 22.0000 |  9.78 |  0.00 | 38.36 |      0.00 |      0.00 |     0.00 |     0.9704 |   4.37 |  60.97 | 
 22.2000 |  9.88 |  0.00 | 38.37 |      0.00 |      0.00 |     0.00 |     0.9706 |   4.33 |  61.43 | 
 22.4000 |  9.98 |  0.00 | 38.39 |      0.00 |      0.00 |     0.00 |     0.9708 |   4.30 |  61.89 | 
 22.6000 | 10.08 |  0.00 | 38.40 |      0.00 |      0.00 |     0.00 |     0.9710 |   4.27 |  62.34 | 
 22.8000 | 10.18 |  0.00 | 38.41 |      0.00 |      0.00 |     0.00 |     0.9712 |   4.23 |  62.79 | 
 23.0000 | 10.28 |  0.00 | 38.43 |      0.00 |      0.00 |     0.00 |     0.9714 |   4.20 |  63.24 | 
 23.2000 | 10.38 |  0.00 | 38.44 |      0.00 |      0.00 |     0.00 |     0.9716 |   4.17 |  63.68 | 
 23.4000 | 10.48 |  0.00 | 38.45 |      0.00 |      0.00 |     0.00 |     0.9718 |   4.14 |  64.13 | 
 23.6000 | 10.58 |  0.00 | 38.46 |      0.00 |      0.00 |     0.00 |     0.9719 |   4.11 |  64.56 | 
 23.8000 | 10.68 |  0.00 | 38.47 |      0.00 |      0.00 |     0.00 |     0.9721 |   4.08 |  65.00 | 
 24.0000 | 10.78 |  0.00 | 38.48 |      0.00 |      0.00 |     0.00 |     0.9723 |   4.05 |  65.44 | 
 24.2000 | 10.88 |  0.00 | 38.49 |      0.00 |      0.00 |     0.00 |     0.9724 |   4.02 |  65.87 | 
 24.4000 | 10.98 |  0.00 | 38.50 |      0.00 |      0.00 |     0.00 |     0.9726 |   3.99 |  66.30 | 
 24.6000 | 11.08 |  0.00 | 38.51 |      0.00 |      0.00 |     0.00 |     0.9728 |   3.96 |  66.72 | 
 24.8000 | 11.18 |  0.00 | 38.52 |      0.00 |      0.00 |     0.00 |     0.9729 |   3.93 |  67.14 | 
 25.0000 | 11.28 |  0.00 | 38.53 |      0.00 |      0.00 |     0.00 |     0.9731 |   3.91 |  67.57 | 
 25.2000 | 11.38 |  0.00 | 38.54 |      0.00 |      0.00 |     0.00 |     0.9732 |   3.88 |  67.98 | 
 25.4000 | 11.48 |  0.00 | 38.55 |      0.00 |      0.00 |     0.00 |     0.9734 |   3.86 |  68.40 | 
